국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Ensemble
그리스,공용,2022,9,3,가을,0,213,1,1.0,0.0,1.0,1.0,1.25,0.0,0,0,0,2.8830025827248855,4.651006458372663,1.5035548752454337,3.012521305447661
그리스,공용,2022,10,4,가을,0,214,2,1.0,1.0,2.0,1.3333333333333333,1.25,0.0,0,0,0,2.8635336397239497,4.700047456553196,1.763241352568842,3.108940816281996
그리스,공용,2022,11,4,가을,0,215,1,2.0,1.0,3.0,1.3333333333333333,1.0833333333333333,-66.66666666666666,0,0,0,2.6184638720895332,4.614009369648326,2.758175818932728,3.3302163535568625
그리스,공용,2022,12,4,겨울,0,216,2,1.0,1.0,0.0,1.6666666666666667,1.25,inf,0,0,1,2.3850447455665558,3.52996540872494,3.4694617022586165,3.128157285516704
그리스,공용,2023,1,1,겨울,0,217,2,2.0,2.0,2.0,1.6666666666666667,1.25,0.0,0,0,1,2.9424284486998986,2.9925923944800994,4.75996097309272,3.564993938757573
그리스,공용,2023,2,1,겨울,0,218,1,2.0,1.0,1.0,1.6666666666666667,1.25,0.0,0,0,1,2.7505996783244506,3.053993270022363,4.74951470946726,3.5180358859380245
그리스,공용,2023,3,1,봄,0,219,2,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,100.0,0,0,2,2.767364740671301,3.8523377262522605,6.190183866528725,4.269962111150762
그리스,공용,2023,4,2,봄,0,220,1,2.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.0,0,0,2,2.8713413228406,3.829470865462004,4.80194129273659,3.834251160346398
그리스,공용,2023,5,2,봄,0,221,1,1.0,1.0,2.0,1.3333333333333333,1.25,-50.0,0,0,2,2.8365585627505325,3.829470865462004,2.3063142608329725,2.9907812296818364
그리스,공용,2023,8,3,여름,0,224,1,0.0,1.0,1.0,0.3333333333333333,1.1666666666666667,0.0,0,0,3,3.2007692697812793,5.186277688506509,3.787146033858332,4.058064330715374
그리스,공용,2023,9,3,가을,0,225,2,1.0,0.0,1.0,1.0,1.25,100.0,0,0,0,2.8830025827248855,4.651006458372663,1.5035548752454337,3.012521305447661
그리스,공용,2023,10,4,가을,0,226,1,2.0,0.0,2.0,1.3333333333333333,1.1666666666666667,-50.0,0,0,0,2.8635336397239497,4.700047456553196,1.763241352568842,3.108940816281996
그리스,공용,2023,11,4,가을,0,227,2,1.0,1.0,1.0,1.6666666666666667,1.25,100.0,0,0,0,2.6184638720895332,4.614009369648326,2.758175818932728,3.3302163535568625
그리스,관광,2020,1,1,겨울,0,181,379,476.0,695.0,481.0,488.0,528.9166666666666,-21.20582120582121,0,1,1,377.49918450437076,257.31747119009367,459.0582997145943,364.6249851363529
그리스,관광,2020,2,1,겨울,0,182,463,379.0,609.0,381.0,439.3333333333333,535.75,21.522309711286088,0,1,1,366.5690025815982,269.58940385971147,418.6195457098075,351.5926507170391
그리스,관광,2020,3,1,봄,1,183,129,463.0,476.0,509.0,323.6666666666667,504.0833333333333,-74.65618860510806,0,1,2,441.86436481448646,313.0029553031637,503.37914080373275,419.4154869737943
그리스,관광,2020,4,2,봄,1,184,30,129.0,379.0,501.0,207.33333333333331,464.8333333333333,-94.01197604790418,0,1,2,468.1333351305312,311.52320218791806,502.8343515347181,427.49696295105576
